SNAME,SEINetName,county,institutionCode,identifiedBy,collector,collectionNumber,eventDate,year,modified,habitat,substrate,verbatimAttributes,occurrenceRemarks,associatedTaxa,reproductiveCondition,locality,locationRemarks,decimalLatitude,decimalLongitude,verbatimCoordinates,geodeticDatum,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,references,SEINet_id,occurrenceID,catalogNumber,accessionNumber,SEINetName_binomial,SEINetName_tri_shift,institutionCode_CNHP,textName,institutionCount,Unnamed: 3,iNatName,gbifID,otherCatalogNumbers,iNatName_binomial,iNatName_tri_shift,SFID,EOID,Descriptor,Locator,FeatureType,UncertType,UncertDist,DistanceUnit,DigiCom,MapCom,DigiBase,RepAcc,CValue2020,GELEMENTID,SELEMENTID,ELCODE,MAJORGROUP,GNAME,GCOMNAME,SCOMNAME,GRANK,SRANK,RNDGRANK,TRACK,INACTIVE,TRACKCOM,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,ECOSCALE,AQDEP,ENDEMISM,TRACKJUST,ELSENSJUST,GLOBALSSEQID,CLASSIFICATIONSTATUS,ORIGIN
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,Ronald L. Hartman,70032,8/17/2000,2000,2/6/2013 11:09,"Meadows and woodland, pond edges.",,,,,flowering and fruiting,"North-central Colorado: Park Range: Newcomb Park Trail, 0.5-2.5 trail mi W of trail head (to granitic domes and Newcomb Creek angling NW), ca 20-21 air mi SW of Walden.",,40.5899,-106.6426,"40.5899° N, 106.6426° W; T7N R82W S7; also S8",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1470221,1470221,,757811,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,53324,6/27/2001,2001,2/6/2013 11:09,Muddy areas along the stream.,,,,,flowering,"North-central Colorado: Park Range: at the junction of Bedrock and Tennessee creeks, along Beeler Gulch and vicinity, ca 35.5 air mi NNW of Steamboat Springs.",,40.967,-107.0245,"40.967° N, 107.0245° W; uncertainty 1 mi.; T12N R86W S27 W1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1470461,1470461,,762792,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,Ronald L. Hartman,70424,9/9/2000,2000,2/6/2013 11:09,"Limber pine and Douglas fir in rock outcrops above, sagebrush slopes, grassy flood plain of river.",,,,,flowering,"North-central Colorado: Medicine Bow Mountains: Forest Road 895 at private land and W to North Platte River, then",,40.9518,-106.3265,"40.9518° N, 106.3265° W; T11N R80W S1; NE 15 air mi, ca 6-7 air mi N of Cowdrey Also SE1/4 S2 and T12N R79W SW1/4 S31",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1470392,1470392,,757810,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,B. E. Nelson,54146,7/17/2001,2001,2/6/2013 11:09,Meadow in old beaver pond area and on the dam.,,,,,flowering and fruiting,"North-central Colorado: Rabbit Ears Range: ca 1 1/4 air mi S of Slack-Weiss Reservoir and ca 2 air mi WNW of the north end of Arapaho Ridge, ca 21.5 air mi S of Walden.",,40.4163,-106.3604,"40.4163° N, 106.3604° W; uncertainty 0.5 mi.; T5N R80W S10 NW1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1470876,1470876,,762791,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,"Ronald L. Hartman, Sarah Nunn",68906,7/27/2000,2000,2/6/2013 11:09,Water margin on and in lake.,,,,,flowering,"North-central Colorado: Park Range: N-S trail just off Fryingpan Trail, 4-5 air mi S of Big Creek Lakes, ca 18 air mi NW of Walden.",,40.8502,-106.5741,"40.8502° N, 106.5741° W; T10N R82W S11 NE1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1469056,1469056,,757812,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Jackson,RM,,B. E. Nelson,55979,8/20/2001,2001,2/6/2013 11:09,Around small pond-marsh in aspen forest.,,,,,flowering,"North-central Colorado: Rabbit Ears Range: along the Continental Divide ca 0.5-1 air mi NW of Chimney Rock, ca 8 air mi ESE of Muddy Pass; ca 27.5 air mi SSW of Walden.",,40.3583,-106.4362,"40.3583° N, 106.4362° W; uncertainty 1 mi.; T5N R81W S36",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1472462,1472462,,762783,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,55482,8/8/2001,2001,2/6/2013 11:09,Meadows along the stream.,,,,,flowering,"North-central Colorado: Park Range: along Horse Creek to Rock Creek and the ridge to the north, ca 1.5-2 air mi E of Long Park, ca 15.5-16 air mi SE of Yampa.",,40.0391,-106.6483,"40.0391° N, 106.6483° W; uncertainty 0.5 mi.; T1N R83W S24 NW1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1472162,1472162,,762785,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Grand,RM,,B. E. Nelson,55538,8/8/2001,2001,2/6/2013 11:09,Small pond at edge of mixed conifer forest.,,,,,flowering and fruiting,"North-central Colorado: Park Range: along old logging road between Jolley and Horse creeks, ca 4 air mi WSW of Gore Pass, ca 12.5 air mi W of Kremmling.",,40.0538,-106.6291,"40.0538° N, 106.6291° W; uncertainty 0.5 mi.; T1N R82W S18 SW1/4",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1472225,1472225,,762784,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Grand,RM,,B. E. Nelson,54736,7/25/2001,2001,2/6/2013 11:09,Along logging road in old timber sale with mixed conifer regrowth.,,,,,flowering,"North-central Colorado: Park Range: along Silver Creek Trail, ca 2-3 air mi SE of Gore Mountain, ca 15-16.5 air mi NW of Kremmling.",,40.2091,-106.622,"40.2091° N, 106.622° W; uncertainty 1 mi.; T3N R82W S19 S1/2",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1471331,1471331,,762788,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
Alopecurus aequalis,Alopecurus aequalis var. aequalis,Routt,RM,,B. E. Nelson,54681,7/25/2001,2001,2/6/2013 11:09,Willow carr along the stream and old beaver ponds.,,,,,flowering,"North-central Colorado: Park Range: Sarvis (Sarvice) Creek Wilderness: along Silver Creek, ca 1.5 air mi S of Gore Mountain, ca 13.5-15 air mi ENE of Yampa.",,40.2011,-106.6674,"40.2011° N, 106.6674° W; uncertainty 2 mi.; T3N R83W S26; also S25",,,,,,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1471270,1471270,,762789,,Alopecurus aequalis,Alopecurus aequalis,RM,Rocky Mountain Herbarium,196155,,,,,,,,,,,,,,,,,,,4,1380,18062,PMPOA07010,Vascular Plants,Alopecurus aequalis,Short-awn Foxtail,,G5,SNR,G5,N,N,,,,,N,,N,N: No (the element is not endemic),"does not meet minimum G-rank/S-rank criteria (G1, G2, G3 or G4S1-2 or G5S1-2) for tracking",,152667,1,Unknown/Undetermined
